We can't initialize Mstart.                      ,Ne možemo Vas preusmjeriti na plaćanje.
Order cannot be placed!                          ,Narudžba se ne može spremiti!
Order successfully saved!                        ,Narudžba uspješno snimljena
Approved/Accepted                                ,Odobreno
Your orders is declined.                         ,Vaša narudžba je odbijena.
Expired card                                     ,Istekla kartica
Restricted card                                  ,Nedozvoljena upotreba kartice
Invalid merchant                                 ,Nepoznato prodajno mjesto
Card not on file                                 ,Nepoznati podaci o kartici
Requested function not supported                 ,Nedozvoljena upotreba
Insufficient funds                               ,Nedostatna sredstva
Reversal accepted                                ,Stornirano
Unable to process request                        ,Nema veze na HOST
Server not available                             ,Server nije dostupan
Transaction not found                            ,Transakcija nije pronađena
Transaction voided/reserved                      ,Transakcija stornirana
Enabled                                          ,Omogućeno
Title                                            ,Naziv
Test Mode                                        ,Test Okruženje
Test Link                                        ,Test Link
Production Link                                  ,Produkcijski Link
Language                                         ,Jezik
Merchant ID                                      ,ID Trgovca
Key                                              ,Ključ
Display Response Error Message                   ,Prikaži Povratnu Poruku O Grešci
Transaction Type                                 ,Vrsta Transakcije
Currency                                         ,Valuta
Order Status ON Success                          ,Status narudžbe nakon snimanja
Instructions                                     ,Upute
Something went wrong in the payment gateway.     ,Dogodila se greška tijekom plaćanja.
Reversal (Cancel) Order Error Email              ,Email Template Za Grešku Prilikom Otkazivanja Predautoriziranih Narudžbi
Send error message to the following email address,Pošalji poruku o greški na slijedeću email adresu
Reversal Email Address                           ,Reversal Email Adresa
Order not in status Authorized                   ,Narudžba nije Autorizirana
Mstart Reversal Error!                          ,Greška kod otkazivanja!